id;nom;prix;description
1;conglomeration Marketing solutions;70855;Union
2;Grocery;76924;connecting
3;Accountability XSS Iowa;58092;Movies Division
4;Trafficway auxiliary Myanmar;91188;Internal Wooden
5;Enterprise-wide Fantastic Plastic Shirt;48025;Money Market Account China Credit Card Account
6;Accounts;17906;Jewelery navigate
7;back up;44289;Cambridgeshire
8;Facilitator deposit Practical;42003;emulation
9;Borders non-volatile Buckinghamshire;59106;Fresh Iraqi Dinar array
10;Saint Lucia;18100;Chair
